sea_surface_temperature,lat,lon
0.8303539,2.5157478,0.23680204
-0.52505565,-2.975025,-0.8674443
-0.17666668,-6.1837196,0.2269118
0.72397614,-0.4603165,-0.5189263
0.52602315,-5.9529743,-1.2845101
0.86360383,4.5233593,-0.9808493
-0.8300257,-1.9510934,0.07729023
-1.0364289,-5.8018823,-0.18275407
2.3916287,1.5872502,-1.0343739
-0.55326164,0.048327558,-0.3660523
-1.9955533,-2.8745918,-1.4164182
0.97849584,1.11944,0.21746942
2.390643,1.5227885,1.4849281
-0.7177284,-4.2272377,-1.0929507
0.6671892,-6.5508986,0.030213738
-1.0231508,-4.718397,-0.6081768
-1.615713,2.2360492,-1.3701175
-0.90930605,-5.473411,-0.3886934
-0.024022067,-6.1744695,-1.1820825
0.6966093,0.975766,3.1817677
-1.2069122,-4.209372,-0.07282592
0.8832863,1.3867499,-0.1580311
-0.18683892,0.071513034,-0.36100134
1.1196103,2.784301,1.6372393
-2.0080733,2.3562126,-0.6315502
-0.02340203,-6.2399874,-0.41695487
0.100568846,-0.29867464,-1.0194039
-3.0507293,-3.369423,0.20958169
-1.4563845,-3.1129673,-1.1361823
-0.9397254,-5.6391344,-1.2895172
-0.040489834,-6.4171214,-0.26056606
-1.1586149,-3.6137452,-2.3367896
-0.11336855,-5.934742,-0.4566799
-1.835172,1.8436986,-2.150231
-1.3076261,-6.3572025,1.2460433
-3.3116884,1.809082,-2.223063
-1.4769166,-3.9913664,-1.0071871
-0.17416164,4.9922395,0.7043018
-1.0252444,-5.7313256,-0.24232504
1.6757646,0.72281146,-1.781347
-1.0329754,-5.8145504,-0.21316366
0.33919603,-4.818345,-0.09421462
0.12622926,-6.6730275,0.008025747
-2.0893266,-2.3099704,0.36754227
1.3940266,-6.0431075,-0.3500407
-0.77277213,-6.1549244,-0.27411792
-1.025438,-6.141425,1.2383889
-1.5548415,-2.9013267,-0.99607354
1.5693163,2.7408762,-0.78866816
-1.3327909,2.716916,-2.6021838
-0.120111845,0.39776924,0.18522996
-1.7370975,1.4889284,-2.4684849
-0.80488956,7.188518,-0.2888116
-0.015525015,-5.0581145,-0.30295745
-2.3567715,-4.4269166,0.48815224
0.59416187,-1.0566088,-0.4324056
-1.1428608,-1.877025,0.45638457
0.12870853,-6.662499,-0.75836766
-0.521651,-3.7782052,-1.3859116
0.49869585,0.76473534,-2.8658888
-1.3000649,3.5938945,1.4341115
-0.9370112,-5.4146323,-0.34751272
-1.0211464,-4.9412436,-0.68718606
